,keyword
0,bjp
1,devendra
2,jaishankar
3,maharashtra
4,panchayat
5,pandits
6,jharkhand
7,patnaik
8,prasad
9,sonia
10,rajnath
11,singh
12,kumar
13,bjps
14,gujarat
15,telangana
16,bihar
17,pradesh
18,mukherjee
19,banerjee
20,patkar
21,crorepatis
22,vijayan
23,indira
24,rajinder
25,kerala
26,haryana
27,assam
28,dharmendra
29,councillor
30,vijayakanth
31,rajasthan
32,chairman
33,karnataka
34,hindutvawadis
35,caste
36,nagarjunasagar
37,adityanath
38,rajya
39,gandhi
40,kejriwal
41,shahabuddin
42,delhi
43,rajput
44,tewari
45,odisha
46,nawab
47,chhattisgarh
48,kumaraswamy
49,bharat
50,uttar
51,sabha
52,jairam
53,dikshit
54,malik
55,kamal
56,hindutva
57,chandra
58,prakash
59,hindu
60,andhra
61,indian
62,rao
63,singhvi
64,ashok
65,rajib
66,jaisalmer
67,jaipur
68,bharatsinh
69,shivakumar
70,pawar
71,sharma
72,punjab
73,sarkar
74,sanjay
75,somaiya
76,kashmiri
77,chandrasekhar
78,siddaramaiah
79,uddhavs
80,samajwadi
81,raje
82,rahul
83,parliament
84,mahanta
85,surjewala
86,jai
87,mumbai
88,chathurthi
89,nupur
90,jain
91,tamil
92,parliamentary
93,thakur
94,gadkari
95,mainpuri
96,satabdi
97,yeddiyurappa
98,sukhbir
99,minister
100,eknath
101,uddhav
102,shivaji
103,bengal
104,yediyurappa
105,thackeray
106,india
107,shivraj
108,pradhan
109,nadu
110,governor
111,manipur
112,ghulam
113,talwar
114,sikh
115,uttarakhand
116,hai
117,ayodhya
118,rajan
119,kashmir
120,goyal
121,cricketer
122,bhushan
123,jammu
124,sidhu
125,madras
126,govt
127,supriya
128,crore
129,mplad
130,candidate
131,dharna
132,himachal
133,padayatra
134,shah
135,pariwar
136,dhankhar
137,jallianwala
138,goa
139,yadav
140,kanniyakumari
141,adhikari
142,mp
143,shekhawat
144,sukhu
145,nomination
146,rai
147,sachin
148,krishnan
149,bhabanipur
150,gupkar
151,pragya
152,ravi
153,modi
154,tribal
155,madhya
156,nominates
157,kaustav
158,legislator
159,shahnawaz
160,chief
161,lakh
162,durga
163,kolkata
164,sushant
165,prathap
166,mithun
167,bengaluru
168,elected
169,bhupinder
170,shri
171,babul
172,meghalaya
173,govts
174,mishra
175,kamarhati
176,nadda
177,manmohan
178,pranab
179,mayawati
180,hussain
181,mulayam
182,tribals
183,district
184,leader
185,mayor
186,sukhvinder
187,ministerial
188,nominee
189,malabar
190,coalition
191,dalit
192,netaji
193,sibal
194,tarun
195,aurangabad
196,election
197,narendra
198,congressman
199,hathras
200,balasaheb
201,berth
202,kalyan
203,council
204,shaheen
205,sitaram
206,chouhan
207,dissident
208,fir
209,demonetisation
210,disqualification
211,kartik
212,voter
213,nakara
214,kavitha
215,bharadwaj
216,patidar
217,mallikarjun
218,bhagwant
219,joshi
220,aatmanirbhar
221,khedawala
222,huzurabad
223,nehwal
224,lok
225,hasten
226,sena
227,deputy
228,siya
229,channi
230,priyanka
231,dinesh
232,digvijaya
233,poorvanchali
234,brahmin
235,bhupendra
236,pappu
237,manjhi
238,ahmed
239,trivedi
240,jha
241,khushbu
242,koshyari
243,madan
244,ldf
245,ministry
246,ranjan
247,droupadi
248,cong
249,anand
250,aiadmkbjp
251,niti
252,basanangouda
253,surya
254,baramati
255,khan
256,secretary
257,leadership
258,electoral
259,polling
260,rijiju
261,baat
262,khalid
263,howrah
264,saina
265,haasan
266,chidambaram
267,andheri
268,jd
269,ramesh
270,political
271,ambati
272,sarma
273,chadha
274,turnout
275,government
276,sinha
277,thiaga
278,appoints
279,patiala
280,civic
281,rank
282,paswan
283,patel
284,legislature
285,manohar
286,gowda
287,subramani
288,tharoor
289,yashwant
290,naik
291,nirmala
292,survive
293,demoted
294,aiadmk
295,faction
296,vadra
297,hardik
298,campaigning
299,gajendra
300,jibe
301,ganesh
302,visakhapatnam
303,vasundhara
304,status
305,ysr
306,saamna
307,ballot
308,cji
309,upyogi
310,shetty
311,bloc
312,patil
313,balaji
314,manifesto
315,voting
316,isf
317,prashant
318,federal
319,satrap
320,member
321,captain
322,wayside
323,sisodia
324,participate
325,tejashwi
326,jury
327,kirit
328,dissenter
329,congress
330,supporter
331,jmm
332,uparbeda
333,bagh
334,saaf
335,babri
336,politics
337,support
338,pave
339,ajit
340,nabi
341,savarkar
342,shivpal
343,bapu
344,submit
345,vote
346,governed
347,unrest
348,prem
349,teeter
350,bommai
351,batting
352,akhada
353,board
354,lalu
355,disha
356,deprived
357,successor
358,dmk
359,gada
360,form
361,merit
362,jitan
363,inroad
364,shunt
365,nahi
366,surat
367,gautam
368,mutiny
369,raghuvansh
370,factional
371,methodology
372,tn
373,master
374,clan
375,mum
376,mitra
377,priest
378,divided
379,lobo
380,opposition
381,bagchi
382,sasikala
383,bungalow
384,administration
385,hopper
386,rescue
387,deshmukh
388,kashi
389,democracy
390,barb
391,biswa
392,digambar
393,quota
394,till
395,mashaal
396,sp
397,gowdas
398,himanta
399,survivor
400,stump
401,nagaland
402,stayed
403,readiness
404,column
405,palaniswami
406,sits
407,dalits
408,contribute
409,cab
410,serve
411,azad
412,mamata
413,abhishek
414,mla
415,denies
416,promotion
417,disqualified
418,rayudu
419,cpi
420,presidential
421,bastar
422,aiudf
423,sule
424,majority
425,wheelchair
426,lingayats
427,cpm
428,ajsu
429,tem
430,declare
431,tripura
432,nda
433,campaign
434,corruption
435,success
436,splitting
437,survey
438,chakraborty
439,rjd
440,atishi
441,ysrc
442,aaditya
443,statehood
444,statement
445,president
446,sr
