,keyword
0,kohli
1,marquez
2,nadal
3,rahane
4,sachin
5,djokovic
6,atletico
7,ganguly
8,gavaskar
9,odis
10,disqualified
11,tendulkar
12,tournament
13,bcci
14,midfield
15,championship
16,giroud
17,tourney
18,vekic
19,messi
20,odi
21,alonso
22,afridi
23,ibrahimovic
24,suarez
25,unbeaten
26,qualifying
27,semifinal
28,sehwag
29,ruud
30,federer
31,tomljanovic
32,berankis
33,twenty20
34,zlatan
35,vijay
36,uefa
37,rafael
38,hendricks
39,quarterfinal
40,sharma
41,daniil
42,alvaro
43,qualify
44,pandit
45,shardul
46,wicket
47,juventus
48,compete
49,yadav
50,fulham
51,esports
52,cricketer
53,maracana
54,overtakes
55,napoli
56,novak
57,rahul
58,karim
59,liga
60,superstar
61,mahabs
62,debut
63,gujarat
64,marcelo
65,racing
66,shah
67,maradona
68,qualifier
69,siraj
70,ligue
71,clinch
72,shahzad
73,fifa
74,sporting
75,anand
76,playoff
77,fifaworldcup
78,premier
79,girona
80,cricket
81,inter
82,jaiswal
83,zverev
84,midfielder
85,bayern
86,parc
87,bundesliga
88,griezmann
89,league
90,perez
91,match
92,betis
93,gasquet
94,madrid
95,jinx
96,gerrard
97,lalrinnunga
98,nacional
99,santner
100,blatter
101,goalie
102,patidar
103,neymar
104,shubhankar
105,serie
106,chelsea
107,mbappes
108,benfica
109,dhawan
110,sharan
111,adille
112,milan
113,prestigious
114,copa
115,lance
116,derby
117,ravichandran
118,liverpool
119,legacy
120,champion
121,mirza
122,anandeshwar
123,sarkar
124,chahal
125,zadran
126,chess
127,sevilla
128,shastri
129,mancini
130,predicts
131,durani
132,badminton
133,hockey
134,santos
135,sourav
136,tottenham
137,f1
138,ramos
139,naresh
140,clijsters
141,icc
142,dhoni
143,tennis
144,shashank
145,prix
146,sahal
147,shaw
148,goalkeeper
149,dravid
150,advance
151,arjun
152,montreal
153,list
154,final
155,arsenal
156,singh
157,jhulan
158,lyon
159,selection
160,lampard
161,sprinter
162,fernando
163,ronaldo
164,squad
165,consider
166,ultimate
167,ricardas
168,fielding
169,hardik
170,heavyweight
171,pataudi
172,bench
173,batting
174,wimbledon
175,morata
176,bagnaia
177,cbi
178,baroda
179,raj
180,challenger
181,costa
182,ipl
183,captaincy
184,leverkusen
185,ambani
186,ahmedabad
187,rival
188,varsity
189,striker
190,boxing
191,shankar
192,triumph
193,nagaraju
194,streak
195,barcelona
196,kambli
197,mbappe
198,khachanov
199,goalless
200,markram
201,narendra
202,booked
203,lankans
204,sanjay
205,bengal
206,rr
207,chahar
208,knight
209,sweep
210,hotspur
211,boxer
212,leicester
213,pele
214,saurav
215,crore
216,trophy
217,kane
218,thrash
219,brilliance
220,pandya
221,unanimous
222,rishabh
223,murray
224,semi
225,retires
226,combination
227,fowler
228,staikos
229,ravindra
230,epl
231,xi
232,stead
233,garcia
234,borgohain
235,benchmark
236,mithali
237,uthappa
238,eliminated
239,successive
240,parshavi
241,era
242,jabeur
243,goalfest
244,held
245,tokas
246,tiafoe
247,prospect
248,outfield
249,upcoming
250,manubhai
251,fc
252,clinching
253,relentless
254,conferred
255,rout
256,federation
257,sreeshankar
258,rudrankksh
259,judoka
260,greatest
261,czech
262,krishna
263,medallist
264,kumar
265,medvedev
266,malikkh
267,conquers
268,united
269,beaten
270,stalemate
271,rested
272,graeme
273,season
274,cristiano
275,defence
276,chopra
277,judo
278,olympic
279,nagal
280,rohit
281,sack
282,berth
283,matteo
284,pulisic
285,gordon
286,contest
287,lara
288,olympics
289,punter
290,snooker
291,vikas
292,sergio
293,2nd
294,showdown
295,disappoints
296,century
297,knockout
298,warne
299,bannur
300,tie
301,athlete
302,kl
303,rcb
304,alejandro
305,patil
306,malinga
307,shanaka
