,keyword
0,elon musk
1,putin
2,pak
3,afghanistan
4,khalistan
5,taliban
6,pakistani
7,moscow
8,balochistan
9,crimea
10,pakistan
11,peshawar
12,russian
13,lukashenko
14,sharif
15,lahore
16,russia
17,stevens
18,kabul
19,assassination
20,sergei
21,tajikistan
22,ukraine
23,islamabad
24,karachi
25,assassinate
26,khyber
27,icbm
28,punjab
29,sarkozy
30,kremlin
31,wounded
32,extradition
33,ukrainian
34,mercenary
35,khan
36,boris
37,tawang
38,rohingya
39,terrorist
40,bail
41,dam
42,donetsk
43,giza
44,sindh
45,consular
46,assad
47,geopolitics
48,govts
49,mission
50,vladimir
51,targeted
52,fatally
53,syria
54,govt
55,unrest
56,jfk
57,soldier
58,gunman
59,bounty
60,biden
61,kosovo
62,captured
63,pakhtunkhwa
64,saudi
65,wtc
66,ammo
67,tactical
68,ravichandran
69,blockade
70,fbi
71,jab
72,jalebi
73,deported
74,rescuer
75,bombshell
76,missile
77,counterterrorism
78,gangster
79,kharkiv
80,diplomat
81,prisoner
82,kidnapped
83,firing
84,trump
85,ramzan
86,crackdown
87,terrorism
88,kim
89,patel
90,iraq
91,gupta
92,jaishankar
93,humza
94,killer
95,trigger
96,indictment
97,belarus
98,arabia
99,militia
100,convict
101,kakhovka
102,crisis
103,kaczynski
104,guardsman
105,tank
106,shooter
107,guayaquil
108,uprising
109,rescue
110,iraqi
111,arrest
112,khanna
113,turkiye
114,waziristan
115,syrian
116,extremism
117,gun
118,bjp
119,deadlock
120,bomb
121,killed
122,singh
123,subpoena
124,nato
125,murdered
126,bombing
127,tapi
128,general
129,kohinoor
130,judiciary
131,stabbings
132,kill
133,plea
134,ahmadi
135,bailout
136,airstrikes
137,lok
138,kilicdaroglu
139,turkish
140,yeltsin
141,iran
142,accused
143,military
144,shubman
145,stab
146,corruption
147,rajnath
148,jagannath
149,beijing
150,shot
151,nsa
152,troop
153,astronaut
154,weapon
155,iranian
156,mutiny
157,indicted
158,toshakhana
159,doval
160,silvio
161,sedition
162,sri
163,saif
164,yousaf
165,fighter
166,arab
167,slammed
168,campaign
169,hiroshima
170,prison
171,spy
172,disarm
173,bajwa
174,detained
175,qatar
176,cyberattack
177,breach
178,armed
179,minister
180,pleads
181,notorious
182,diplomatic
183,sanction
184,kabaddi
185,rebel
186,bhutto
187,look
188,beggar
189,ballistic
190,cartel
191,ajinkya
192,faction
193,downed
194,houston
195,seen
196,brigadier
197,guard
198,attacked
199,nicolas
200,murderous
201,seized
202,assault
203,jihad
204,spotlight
205,bucha
206,china
207,nominee
208,junta
209,asia
210,gunfire
211,killing
212,harris
213,jpmorgan
214,protester
215,shooting
216,poisoned
217,known
218,hit
219,lipetsk
220,qaida
221,capture
222,gandhi
223,protest
224,defendant
225,ruthless
226,spurred
227,justice
228,gov
229,turkey
230,targeting
231,criminal
232,sikh
233,gandhian
234,nominates
235,shoot
236,li
237,bos
238,reinforced
239,tayyip
240,hammer
